Model;Make;Model;VehicleClass;EngineSize;Cylinders;Transmission;Fuel;FuelConsumption;CO2 Emissions;CO2;Smog
2021;Buick;Enclave;SUV: Standard;3.6;6;A9;X;13.0;264;4;6
2021;Buick;Enclave AWD;SUV: Standard;3.6;6;A9;X;13.6;277;4;6
2021;Buick;Encore;SUV: Small;1.4;4;AS6;X;9.4;204;6;5
2021;Buick;Encore (SIDI);SUV: Small;1.4;4;AS6;X;9.7;203;6;7
2021;Buick;Encore AWD;SUV: Small;1.4;4;AS6;X;10.0;214;5;5
2021;Buick;Encore AWD (SIDI);SUV: Small;1.4;4;AS6;X;10.2;214;5;7
2021;Buick;Encore GX;SUV: Small;1.2;3;AV;X;8.4;188;6;7
2021;Buick;Encore GX AWD;SUV: Small;1.3;3;A9;X;9.0;199;6;7
2021;Buick;Envision;SUV: Small;2.0;4;AS9;X;10.0;209;5;7
2021;Buick;Envision AWD;SUV: Small;2.0;4;AS9;X;10.5;222;5;7
2021;Cadillac;CT4;Compact;2.0;4;AS8;Z;10.1;203;6;6
2021;Cadillac;CT4;Compact;2.7;4;AS10;Z;11.0;221;5;6
2021;Cadillac;CT4 AWD;Compact;2.0;4;AS8;Z;10.4;213;5;6
2021;Cadillac;CT4 AWD;Compact;2.7;4;AS10;Z;11.4;232;5;6
2021;Cadillac;CT4-V;Compact;2.7;4;AS10;Z;11.5;234;5;6
2021;Cadillac;CT4-V AWD;Compact;2.7;4;AS10;Z;11.7;239;5;6
2021;Cadillac;CT5;Mid-size;2.0;4;AS10;Z;10.4;209;5;6
2021;Cadillac;CT5;Mid-size;3.0;6;AS10;Z;12.3;249;4;5
2021;Cadillac;CT5 AWD;Mid-size;2.0;4;AS10;Z;11.0;242;5;6
2021;Cadillac;CT5 AWD;Mid-size;3.0;6;AS10;Z;12.7;260;4;5
2021;Cadillac;CT5-V;Mid-size;3.0;6;AS10;Z;12.7;256;4;5
2021;Cadillac;CT5-V AWD;Mid-size;3.0;6;AS10;Z;12.7;260;4;5
2021;Cadillac;Escalade 4WD;SUV: Standard;3.0;6;A10;D;12.0;277;4;3
2021;Cadillac;Escalade 4WD;SUV: Standard;6.2;8;A10;Z;16.8;347;2;3
2021;Cadillac;Escalade 4WD (Without Stop-Start);SUV: Standard;6.2;8;A10;Z;17.5;357;2;3
2021;Cadillac;XT4;SUV: Small;2.0;4;AS9;Z;9.9;209;5;7
2021;Cadillac;XT4 AWD;SUV: Small;2.0;4;AS9;Z;10.9;227;5;7
2021;Cadillac;XT5;SUV: Small;2.0;4;AS9;Z;10.7;222;5;7
2021;Cadillac;XT5 AWD;SUV: Small;2.0;4;AS9;Z;11.2;237;5;7
2021;Cadillac;XT5 AWD;SUV: Small;3.6;6;AS9;X;12.9;263;4;6
2021;Cadillac;XT6 AWD;SUV: Small;2.0;4;AS9;Z;11.2;239;5;7
2021;Cadillac;XT6 AWD;SUV: Small;3.6;6;AS9;X;13.1;269;4;6
2021;Chevrolet;Blazer;SUV: Small;2.0;4;A9;X;10.6;221;5;7
2021;Chevrolet;Blazer;SUV: Small;2.5;4;A9;X;11.3;238;5;5
2021;Chevrolet;Blazer;SUV: Small;3.6;6;A9;X;12.0;247;4;6
2021;Chevrolet;Blazer AWD;SUV: Small;2.0;4;A9;X;10.6;227;5;7
2021;Chevrolet;Blazer AWD;SUV: Small;3.6;6;A9;X;12.5;256;4;6
2021;Chevrolet;Camaro;Subcompact;2.0;4;AS8;Z;10.9;222;5;5
2021;Chevrolet;Camaro;Subcompact;2.0;4;M6;Z;12.6;247;4;5
2021;Chevrolet;Camaro;Subcompact;3.6;6;AS10;X;12.8;251;4;6
2021;Chevrolet;Camaro;Subcompact;3.6;6;M6;X;14.4;281;4;6
2021;Chevrolet;Camaro SS;Subcompact;6.2;8;AS10;Z;14.6;281;4;1
2021;Chevrolet;Camaro SS;Subcompact;6.2;8;M6;Z;14.9;296;3;1
2021;Chevrolet;Camaro ZL1;Subcompact;6.2;8;AS10;Z;18.3;355;2;1
2021;Chevrolet;Camaro ZL1;Subcompact;6.2;8;M6;Z;17.2;349;2;1
2021;Chevrolet;Colorado;Pickup truck: Small;2.5;4;A6;X;12.2;257;4;6
2021;Chevrolet;Colorado;Pickup truck: Small;2.8;4;A6;D;11.8;294;3;3
2021;Chevrolet;Colorado;Pickup truck: Small;3.6;6;A8;X;12.9;263;4;6
2021;Chevrolet;Colorado 4WD;Pickup truck: Small;2.5;4;A6;X;12.7;268;4;6
2021;Chevrolet;Colorado 4WD;Pickup truck: Small;2.8;4;A6;D;12.2;294;3;3
2021;Chevrolet;Colorado 4WD;Pickup truck: Small;3.6;6;A8;X;14.0;284;3;6
2021;Chevrolet;Colorado ZR2 4WD;Pickup truck: Small;2.8;4;A6;D;13.3;326;3;3
2021;Chevrolet;Colorado ZR2 4WD;Pickup truck: Small;3.6;6;A8;X;15.0;329;3;6
2021;Chevrolet;Corvette;Two-seater;6.2;8;AS8;Z;15.4;290;3;3
2021;Chevrolet;Equinox;SUV: Small;1.5;4;A6;X;8.9;198;6;7
2021;Chevrolet;Equinox AWD;SUV: Small;1.5;4;A6;X;9.4;207;6;7
2021;Chevrolet;Malibu;Mid-size;1.5;4;AV;X;8.2;175;7;7
2021;Chevrolet;Malibu;Mid-size;2.0;4;A9;Z;10.7;213;5;5
2021;Chevrolet;Silverado;Pickup truck: Standard;2.7;4;A8;X;11.9;263;4;6
2021;Chevrolet;Silverado Custom/WT;Pickup truck: Standard;2.7;4;A8;X;11.9;263;4;6
2021;Chevrolet;Silverado;Pickup truck: Standard;3.0;6;A10;D;10.2;238;5;3
2021;Chevrolet;Silverado;Pickup truck: Standard;4.3;6;A6;X;15.1;318;3;6
2021;Chevrolet;Silverado;Pickup truck: Standard;5.3;8;A6;X;15.8;325;3;5
2021;Chevrolet;Silverado (Without AFM);Pickup truck: Standard;5.3;8;A6;X;16.7;336;2;5
2021;Chevrolet;Silverado FFV;Pickup truck: Standard;5.3;8;A6;X;16.2;340;2;3
2021;Chevrolet;Silverado FFV;Pickup truck: Standard;5.3;8;A6;E;21.5;315;3;3
2021;Chevrolet;Silverado;Pickup truck: Standard;5.3;8;A8;X;13.9;286;3;5
2021;Chevrolet;Silverado (Without DFM);Pickup truck: Standard;5.3;8;A8;X;15.9;319;3;5
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;2.7;4;A8;X;12.5;275;4;6
2021;Chevrolet;Silverado 4WD Custom/WT;Pickup truck: Standard;2.7;4;A8;X;12.5;275;4;6
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;3.0;6;A10;D;10.6;268;4;3
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;4.3;6;A6;X;15.8;329;3;6
2021;Chevrolet;Silverado 4WD Trail Boss;Pickup truck: Standard;4.3;6;A6;X;16.3;347;2;6
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;5.3;8;A6;X;16.0;331;3;5
2021;Chevrolet;Silverado 4WD (Without AFM);Pickup truck: Standard;5.3;8;A6;X;17.3;348;2;5
2021;Chevrolet;Silverado 4WD FFV;Pickup truck: Standard;5.3;8;A6;X;16.5;347;2;3
2021;Chevrolet;Silverado 4WD FFV;Pickup truck: Standard;5.3;8;A6;E;22.0;326;3;3
2021;Chevrolet;Silverado 4WD Trail Boss;Pickup truck: Standard;5.3;8;A6;X;16.5;350;2;5
2021;Chevrolet;Silverado 4WD Trail Boss (Without AFM);Pickup truck: Standard;5.3;8;A6;X;17.8;368;2;5
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;5.3;8;A8;X;14.4;299;3;5
2021;Chevrolet;Silverado 4WD (Without DFM);Pickup truck: Standard;5.3;8;A8;X;16.8;339;2;5
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;5.3;8;A10;X;14.3;298;3;5
2021;Chevrolet;Silverado 4WD (Without Stop-Start);Pickup truck: Standard;5.3;8;A10;X;15.3;313;3;5
2021;Chevrolet;Silverado 4WD Trail Boss;Pickup truck: Standard;5.3;8;A10;X;14.7;307;3;5
2021;Chevrolet;Silverado 4WD Trail Boss (Without Stop-Start);Pickup truck: Standard;5.3;8;A10;X;15.6;321;3;5
2021;Chevrolet;Silverado 4WD;Pickup truck: Standard;6.2;8;A10;Z;14.7;306;3;3
2021;Chevrolet;Silverado 4WD (Without Stop-Start);Pickup truck: Standard;6.2;8;A10;Z;15.6;324;3;3
2021;Chevrolet;Silverado 4WD Trail Boss;Pickup truck: Standard;6.2;8;A10;Z;15.7;332;3;3
2021;Chevrolet;Silverado 4WD Trail Boss (Without Stop-Start);Pickup truck: Standard;6.2;8;A10;Z;16.8;352;2;3
2021;Chevrolet;Spark;Subcompact;1.4;4;AV;X;7.7;165;7;5
2021;Chevrolet;Spark;Subcompact;1.4;4;M5;X;8.0;170;7;5
2021;Chevrolet;Suburban;SUV: Standard;3.0;6;A10;D;11.3;272;4;3
2021;Chevrolet;Suburban;SUV: Standard;5.3;8;A10;X;14.3;309;3;5
2021;Chevrolet;Suburban (Without Stop-Start);SUV: Standard;5.3;8;A10;X;15.3;325;3;5
2021;Chevrolet;Suburban 4WD;SUV: Standard;3.0;6;A10;D;12.0;277;4;3
2021;Chevrolet;Suburban 4WD;SUV: Standard;5.3;8;A10;X;15.3;328;3;5
2021;Chevrolet;Suburban 4WD (Without Stop-Start);SUV: Standard;5.3;8;A10;X;16.0;341;2;5
2021;Chevrolet;Suburban 4WD;SUV: Standard;6.2;8;A10;Z;16.8;347;2;3
2021;Chevrolet;Suburban 4WD (Without Stop-Start);SUV: Standard;6.2;8;A10;Z;17.5;357;2;3
2021;Chevrolet;Tahoe;SUV: Standard;3.0;6;A10;D;11.0;263;4;3
2021;Chevrolet;Tahoe;SUV: Standard;5.3;8;A10;X;14.3;309;3;5
2021;Chevrolet;Tahoe (Without Stop-Start);SUV: Standard;5.3;8;A10;X;15.3;325;3;5
2021;Chevrolet;Tahoe 4WD;SUV: Standard;3.0;6;A10;D;12.0;277;4;3
2021;Chevrolet;Tahoe 4WD;SUV: Standard;5.3;8;A10;X;14.8;317;3;5
2021;Chevrolet;Tahoe 4WD (Without Stop-Start);SUV: Standard;5.3;8;A10;X;15.5;327;3;5
2021;Chevrolet;Tahoe 4WD;SUV: Standard;6.2;8;A10;Z;16.8;347;2;3
2021;Chevrolet;Tahoe 4WD (Without Stop-Start);SUV: Standard;6.2;8;A10;Z;17.5;357;2;3
2021;Chevrolet;Trailblazer;SUV: Small;1.2;3;AV;X;8.4;188;6;7
2021;Chevrolet;Trailblazer;SUV: Small;1.3;3;AV;X;8.0;179;7;7
2021;Chevrolet;Trailblazer AWD;SUV: Small;1.3;3;A9;X;8.9;196;6;7
2021;Chevrolet;Traverse;SUV: Standard;3.6;6;A9;X;13.0;261;4;6
2021;Chevrolet;Traverse AWD;SUV: Standard;3.6;6;A9;X;13.6;277;4;6
2021;Chevrolet;Trax;SUV: Small;1.4;4;AS6;X;9.1;196;6;5
2021;Chevrolet;Trax (SIDI);SUV: Small;1.4;4;AS6;X;9.7;203;6;7
2021;Chevrolet;Trax 4WD;SUV: Small;1.4;4;AS6;X;10.0;214;5;5
2021;Chevrolet;Trax 4WD (SIDI);SUV: Small;1.4;4;AS6;X;10.2;214;5;7
2021;Chrysler;300;Full-size;3.6;6;A8;X;12.4;242;5;3
2021;Chrysler;300;Full-size;5.7;8;A8;X;14.7;289;3;3
2021;Chrysler;300 AWD;Full-size;3.6;6;A8;X;12.8;258;4;3
2021;Chrysler;Grand Caravan;Minivan;3.6;6;A9;X;12.4;249;4;7
2021;Chrysler;Pacifica;Minivan;3.6;6;A9;X;12.4;249;4;7
2021;Chrysler;Pacifica AWD;Minivan;3.6;6;A9;X;14.1;279;4;7
2021;Dodge;Challenger;Mid-size;3.6;6;A8;X;12.4;242;5;3
2021;Dodge;Challenger (MDS);Mid-size;5.7;8;A8;X;14.7;289;3;3
2021;Dodge;Challenger;Mid-size;5.7;8;M6;Z;15.6;307;3;1
2021;Dodge;Challenger (MDS);Mid-size;6.4;8;A8;Z;15.9;306;3;1
2021;Dodge;Challenger;Mid-size;6.4;8;M6;Z;16.7;325;3;1
2021;Dodge;Challenger AWD;Mid-size;3.6;6;A8;X;12.8;258;4;3
2021;Dodge;Challenger Widebody (MDS);Mid-size;6.4;8;A8;Z;15.9;306;3;1
2021;Dodge;Challenger Widebody;Mid-size;6.4;8;M6;Z;16.7;325;3;1
2021;Dodge;Challenger SRT Hellcat;Mid-size;6.2;8;A8;Z;17.6;339;2;1
2021;Dodge;Challenger SRT Hellcat;Mid-size;6.2;8;M6;Z;18.1;352;2;1
2021;Dodge;Challenger SRT Hellcat Widebody;Mid-size;6.2;8;A8;Z;18.6;359;2;1
2021;Dodge;Challenger SRT Hellcat Widebody;Mid-size;6.2;8;M6;Z;18.1;352;2;1
2021;Dodge;Charger;Full-size;3.6;6;A8;X;12.4;242;5;3
2021;Dodge;Charger (MDS);Full-size;5.7;8;A8;X;14.7;289;3;3
2021;Dodge;Charger (MDS);Full-size;6.4;8;A8;Z;15.9;306;3;1
2021;Dodge;Charger AWD;Full-size;3.6;6;A8;X;12.8;258;4;3
2021;Dodge;Charger Widebody (MDS);Full-size;6.4;8;A8;Z;15.9;306;3;1
2021;Dodge;Charger SRT Hellcat Widebody;Full-size;6.2;8;A8;Z;19.0;368;2;1
2021;Dodge;Durango AWD;SUV: Standard;3.6;6;A8;X;12.7;265;4;7
2021;Dodge;Durango AWD;SUV: Standard;5.7;8;A8;X;16.7;331;3;5
2021;Dodge;Durango AWD SRT;SUV: Standard;6.4;8;A8;Z;18.3;363;2;1
2021;Dodge;Durango AWD SRT Hellcat;SUV: Standard;6.2;8;A8;Z;20.5;410;1;1
2021;FIAT;500X AWD;SUV: Small;1.3;4;A9;X;10.0;221;5;6
2021;Ford;Bronco 4WD;SUV: Small;2.3;4;AS10;X;11.7;264;4;5
2021;Ford;Bronco 4WD;SUV: Small;2.3;4;M7;X;11.6;265;4;5
2021;Ford;Bronco 4WD;SUV: Small;2.7;6;AS10;X;12.8;287;3;6
2021;Ford;Bronco Badlands 4WD;SUV: Small;2.3;4;AS10;X;13.5;318;3;5
